; nightmare room willy sprite data
128,0,80,0,168,0,80,0,168,0,213,0,106,0,215,0	
170,128,215,192,255,192,126,0,68,0,68,0,0,0,0,0	
0,0,0,0,0,0,0,0,0,0,44,64,30,128,63,192	
42,160,85,240,43,240,95,128,17,0,32,128,0,0,0,0	
0,0,0,0,0,0,0,0,0,0,11,16,7,160,15,240	
13,104,10,188,21,124,10,224,21,64,42,64,20,0,40,0	
0,0,0,0,0,0,0,0,0,0,2,200,1,232,3,252	
2,170,5,95,2,191,5,248,1,16,0,160,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,64,23,128,63,192	
85,64,250,160,253,64,31,160,8,128,5,0,0,0,0,0	
0,0,0,0,0,0,0,0,0,0,8,208,5,224,15,240	
22,176,61,80,62,168,7,80,2,168,2,84,0,40,0,20	
0,0,0,0,0,0,0,0,0,0,2,52,1,120,3,252	
5,84,15,170,15,212,1,250,0,136,1,4,0,0,0,0	
0,3,0,10,0,21,0,10,0,21,0,171,0,86,0,235	
1,85,3,235,3,255,0,126,0,34,0,34,0,0,0,0	
