60,0,60,0,126,0,52,0,62,0,60,0,24,0,60,0
126,0,126,0,247,0,251,0,60,0,118,0,110,0,119,0
15,0,15,0,31,128,13,0,15,128,15,0,6,0,15,0
27,128,27,128,27,128,29,128,15,0,6,0,6,0,7,0
3,192,3,192,7,224,3,64,3,224,3,192,1,128,3,192
7,224,7,224,15,112,15,176,3,192,7,96,6,224,7,112
0,240,0,240,1,248,0,208,0,248,0,240,0,96,0,240
1,248,3,252,7,254,6,246,0,248,1,218,3,14,3,140
15,0,15,0,31,128,11,0,31,0,15,0,6,0,15,0
31,128,63,192,127,224,111,96,31,0,91,128,112,192,49,192
3,192,3,192,7,224,2,192,7,192,3,192,1,128,3,192
7,224,7,224,14,240,13,240,3,192,6,224,7,96,14,224
0,240,0,240,1,248,0,176,1,240,0,240,0,96,0,240
1,216,1,216,1,216,1,184,0,240,0,96,0,96,0,224
0,60,0,60,0,126,0,44,0,124,0,60,0,24,0,60
0,126,0,126,0,239,0,223,0,60,0,110,0,118,0,238
